##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	reverse.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13087064
Total Bases	1.9 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.8520636867062	40.0	40.0	40.0	40.0	40.0
2	39.3440501246116	40.0	40.0	40.0	40.0	40.0
3	39.43123667768416	40.0	40.0	40.0	40.0	40.0
4	39.42938385569139	40.0	40.0	40.0	40.0	40.0
5	39.44927999129522	40.0	40.0	40.0	40.0	40.0
6	39.47188429734889	40.0	40.0	40.0	40.0	40.0
7	39.50657809880047	40.0	40.0	40.0	40.0	40.0
8	39.515075497453054	40.0	40.0	40.0	40.0	40.0
9	39.49579340331796	40.0	40.0	40.0	40.0	40.0
10-14	39.52935674495059	40.0	40.0	40.0	40.0	40.0
15-19	39.5535506512385	40.0	40.0	40.0	40.0	40.0
20-24	39.560215308796536	40.0	40.0	40.0	40.0	40.0
25-29	39.408128087399895	40.0	40.0	40.0	40.0	40.0
30-34	39.35762484236342	40.0	40.0	40.0	40.0	40.0
35-39	39.34047431876242	40.0	40.0	40.0	40.0	40.0
40-44	39.32822115029009	40.0	40.0	40.0	40.0	40.0
45-49	39.317439480696365	40.0	40.0	40.0	40.0	40.0
50-54	39.29058098898271	40.0	40.0	40.0	40.0	40.0
55-59	39.25909722761347	40.0	40.0	40.0	40.0	40.0
60-64	39.238461766519976	40.0	40.0	40.0	40.0	40.0
65-69	39.21257076453511	40.0	40.0	40.0	40.0	40.0
70-74	39.185834164179234	40.0	40.0	40.0	40.0	40.0
75-79	39.151419814253224	40.0	40.0	40.0	40.0	40.0
80-84	39.10044792323167	40.0	40.0	40.0	40.0	40.0
85-89	39.06964296957667	40.0	40.0	40.0	40.0	40.0
90-94	39.03677439034455	40.0	40.0	40.0	40.0	40.0
95-99	38.99604708894218	40.0	40.0	40.0	40.0	40.0
100-104	38.940563139295406	40.0	40.0	40.0	40.0	40.0
105-109	38.8939742634406	40.0	40.0	40.0	40.0	40.0
110-114	38.86184656848931	40.0	40.0	40.0	40.0	40.0
115-119	38.813439622515794	40.0	40.0	40.0	40.0	40.0
120-124	38.75636295505241	40.0	40.0	40.0	40.0	40.0
125-129	38.66761586861652	40.0	40.0	40.0	40.0	40.0
130-134	38.63348344594326	40.0	40.0	40.0	40.0	40.0
135-139	38.5563432409286	40.0	40.0	40.0	40.0	40.0
140-144	38.465626484290134	40.0	40.0	40.0	40.0	40.0
145-149	38.3452861848922	40.0	40.0	40.0	40.0	40.0
150-151	37.89268823014849	40.0	40.0	40.0	32.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.07641445015645587
1101	2	0.017805649299376114
1101	3	0.014937200214930613
1101	4	0.10986980448620187
1101	5	0.018000877689424044
1101	6	0.01621334121919915
1101	7	0.005168372284821032
1101	8	0.039561735759313876
1101	9	0.06031749504757755
1101	10-14	0.011712356368491328
1101	15-19	-0.01518548794387442
1101	20-24	0.014942467672760529
1101	25-29	0.07057022965711468
1101	30-34	0.06370682089463031
1101	35-39	0.050977952266251236
1101	40-44	0.06576490851085026
1101	45-49	0.09379720286239035
1101	50-54	0.10165402699333015
1101	55-59	0.11863235112448933
1101	60-64	0.11829171940031102
1101	65-69	0.16270425024121238
1101	70-74	0.17832465037761125
1101	75-79	0.20201608342683386
1101	80-84	0.24421981752786337
1101	85-89	0.22457300136279912
1101	90-94	0.24066041075718658
1101	95-99	0.27878542977235554
1101	100-104	0.2974074802266742
1101	105-109	0.3099483378832204
1101	110-114	0.2966728890347312
1101	115-119	0.2916060296922254
1101	120-124	0.36219955578232543
1101	125-129	0.40434464561646877
1101	130-134	0.36755641109805737
1101	135-139	0.37358081443650804
1101	140-144	0.3727385359446629
1101	145-149	0.3887827218601103
1101	150-151	0.44214357733554266
1102	1	0.11597046379500142
1102	2	-0.2234902644118506
1102	3	0.006566281401859442
1102	4	0.15045501441839804
1102	5	-0.028501781000784376
1102	6	0.16253416796981668
1102	7	0.07790023093743059
1102	8	-0.02027129069917777
1102	9	0.028076376265225633
1102	10-14	-0.012619141830384706
1102	15-19	0.005294291564830189
1102	20-24	0.038758828878592055
1102	25-29	0.06796157188866658
1102	30-34	0.11334886649249398
1102	35-39	0.08252274414549987
1102	40-44	0.05648028993372378
1102	45-49	0.08347405563355181
1102	50-54	0.05115271656516995
1102	55-59	0.16144517428890737
1102	60-64	0.20044384830148942
1102	65-69	0.18279197899290267
1102	70-74	0.18722029076769076
1102	75-79	0.24565061269305488
1102	80-84	0.18584901336292603
1102	85-89	0.2229682485097868
1102	90-94	0.23455296711247797
1102	95-99	0.31926195327407214
1102	100-104	0.27661040054393027
1102	105-109	0.35864591215800345
1102	110-114	0.3000285481812526
1102	115-119	0.38757367140305377
1102	120-124	0.37348946193135646
1102	125-129	0.3917947106219515
1102	130-134	0.34113010806470356
1102	135-139	0.3340948966667341
1102	140-144	0.3082720281038718
1102	145-149	0.2669141865817366
1102	150-151	0.3334573761555859
1103	1	0.14061176087718508
1103	2	-0.011109378652705004
1103	3	-0.016379823776212277
1103	4	0.13900916573428646
1103	5	0.09054561597413624
1103	6	-0.04012715118639676
1103	7	0.048718990750266755
1103	8	-0.040458142663304386
1103	9	0.019080433533332553
1103	10-14	-0.031057793138508316
1103	15-19	-0.011290141583515378
1103	20-24	-0.03212428760076591
1103	25-29	-0.011210185794496397
1103	30-34	0.03533148708351064
1103	35-39	-0.036918565372758394
1103	40-44	-0.036173723030877625
1103	45-49	0.026997194497823784
1103	50-54	0.043880102347628736
1103	55-59	0.07310865421242596
1103	60-64	0.0342702718429706
1103	65-69	0.07069634560826898
1103	70-74	0.09341842846608017
1103	75-79	0.14871890226696394
1103	80-84	0.14300830388508956
1103	85-89	0.14427932127634335
1103	90-94	0.26857370426057514
1103	95-99	0.273445913851738
1103	100-104	0.2880969773599773
1103	105-109	0.3089625656113526
1103	110-114	0.3038336749514414
1103	115-119	0.4038301031834237
1103	120-124	0.3879644265662847
1103	125-129	0.43317387087627424
1103	130-134	0.4117222204867872
1103	135-139	0.41372554536327755
1103	140-144	0.44228281639531275
1103	145-149	0.4525657589674381
1103	150-151	0.5263454981534395
1104	1	0.14230652014537526
1104	2	-0.046354108688397844
1104	3	-0.021990324715432052
1104	4	0.11704374142010465
1104	5	0.12777991243328302
1104	6	0.08980184687788295
1104	7	0.027670065364354457
1104	8	0.11787773968267601
1104	9	0.0723748462121847
1104	10-14	0.10224239348358566
1104	15-19	0.061445046361775724
1104	20-24	-0.012667320853253727
1104	25-29	0.08105192831649788
1104	30-34	0.10501351159910399
1104	35-39	0.12726488563521343
1104	40-44	0.06331452688004902
1104	45-49	0.13805471587993878
1104	50-54	0.10033888032613447
1104	55-59	0.13400359250340443
1104	60-64	0.16123561787286889
1104	65-69	0.11247968449788459
1104	70-74	0.13481882355350194
1104	75-79	0.2134958245184464
1104	80-84	0.219385964070959
1104	85-89	0.24055172919780432
1104	90-94	0.29182283807362097
1104	95-99	0.319780739168948
1104	100-104	0.3396906735275991
1104	105-109	0.30225929244998895
1104	110-114	0.31425029627050804
1104	115-119	0.3402510450311951
1104	120-124	0.39166830423506127
1104	125-129	0.5180844415839729
1104	130-134	0.39175659683407815
1104	135-139	0.43935085539767726
1104	140-144	0.4601313275237118
1104	145-149	0.4269279234476855
1104	150-151	0.4597824722405761
1105	1	0.34194285661245516
1105	2	0.1510637509124706
1105	3	0.14552048389352734
1105	4	0.19350935143658887
1105	5	0.14910832603553814
1105	6	0.14709286247762776
1105	7	0.10412705435674496
1105	8	0.1272516665447796
1105	9	0.27115410920082894
1105	10-14	0.1715640482029528
1105	15-19	0.12116374234567928
1105	20-24	0.11847339868614881
1105	25-29	0.15651979847812214
1105	30-34	0.2197921021478706
1105	35-39	0.19360539022375178
1105	40-44	0.20562809364198387
1105	45-49	0.16625466041801218
1105	50-54	0.20307878546613978
1105	55-59	0.24202071385725787
1105	60-64	0.22656889948005698
1105	65-69	0.2864007992537694
1105	70-74	0.26485145412968336
1105	75-79	0.23563949963229192
1105	80-84	0.2741159607806054
1105	85-89	0.28520489821441686
1105	90-94	0.3494362799743911
1105	95-99	0.3131146759739707
1105	100-104	0.45098953138559494
1105	105-109	0.433650883790456
1105	110-114	0.40438252841169486
1105	115-119	0.4015925051165681
1105	120-124	0.3872977323881699
1105	125-129	0.48447997704296597
1105	130-134	0.45349835980477593
1105	135-139	0.4660642480149235
1105	140-144	0.5098243472241819
1105	145-149	0.43527939685254324
1105	150-151	0.6494133918308478
1106	1	0.21962900038036537
1106	2	0.14114388192961513
1106	3	0.12120042774332518
1106	4	0.13094281929644325
1106	5	0.1324738287553089
1106	6	-0.0033194905667670582
1106	7	0.04619291386426028
1106	8	0.0724116361300915
1106	9	0.14027149821644969
1106	10-14	0.08152719963302246
1106	15-19	0.12822112083313186
1106	20-24	0.12558809717126707
1106	25-29	0.10308352310817526
1106	30-34	0.1201781347851707
1106	35-39	0.15959591487720104
1106	40-44	0.14623638749471013
1106	45-49	0.19030332392622995
1106	50-54	0.26383564339443666
1106	55-59	0.3131524913620751
1106	60-64	0.26776092147222386
1106	65-69	0.32962124728559417
1106	70-74	0.3164885834506137
1106	75-79	0.3915042712296426
1106	80-84	0.3838977938507284
1106	85-89	0.3868706875341701
1106	90-94	0.379431015892969
1106	95-99	0.37682292888383273
1106	100-104	0.42734210786099425
1106	105-109	0.46206054630435034
1106	110-114	0.40100415793734356
1106	115-119	0.42952489091523915
1106	120-124	0.47202604729721287
1106	125-129	0.552770320378059
1106	130-134	0.47478864465006154
1106	135-139	0.4770217259350247
1106	140-144	0.5311988573721678
1106	145-149	0.5625239426792987
1106	150-151	0.6639451810336325
1107	1	0.1119925311585277
1107	2	0.1856560770515614
1107	3	0.029504725072008853
1107	4	0.18907290059726023
1107	5	0.1329384048296447
1107	6	-0.009707411588834702
1107	7	0.023602902249862723
1107	8	0.16312011464344778
1107	9	0.1371356097147043
1107	10-14	0.1665794644413836
1107	15-19	0.12018395474718346
1107	20-24	0.10461248741517437
1107	25-29	0.17873973681317068
1107	30-34	0.18813400005811332
1107	35-39	0.1684460890932371
1107	40-44	0.205237548934889
1107	45-49	0.24769008350811816
1107	50-54	0.22351044014239818
1107	55-59	0.2990642219079547
1107	60-64	0.25198856374863965
1107	65-69	0.2720602716758336
1107	70-74	0.24134340342738625
1107	75-79	0.29784573464427666
1107	80-84	0.30356097619684164
1107	85-89	0.33763723805682133
1107	90-94	0.3059350809336223
1107	95-99	0.28401224363412325
1107	100-104	0.28938624258805845
1107	105-109	0.3791801746434871
1107	110-114	0.2913061323856567
1107	115-119	0.3874575273844627
1107	120-124	0.398448811524851
1107	125-129	0.4241408197973371
1107	130-134	0.4936388188661027
1107	135-139	0.3966500650755549
1107	140-144	0.41265065760445196
1107	145-149	0.5338131412855631
1107	150-151	0.5458847861439722
1108	1	0.025222381402514316
1108	2	0.04463723135074105
1108	3	0.014032741225470602
1108	4	0.06357231166911248
1108	5	0.07142065285252386
1108	6	0.14205095960416259
1108	7	0.03569275585914511
1108	8	0.01809235088776262
1108	9	0.2046772553482228
1108	10-14	0.08832773972323338
1108	15-19	0.0181513113011178
1108	20-24	0.062987045719062
1108	25-29	0.06401316774031329
1108	30-34	0.07835274479982957
1108	35-39	0.13938332617887994
1108	40-44	0.1490672645667246
1108	45-49	0.1226909248340462
1108	50-54	0.21804518690329644
1108	55-59	0.16686331327595383
1108	60-64	0.17754804549187497
1108	65-69	0.19698371101623735
1108	70-74	0.24439573390021252
1108	75-79	0.29362900908479617
1108	80-84	0.2767479188184083
1108	85-89	0.2999374231485348
1108	90-94	0.396135316504882
1108	95-99	0.3542040659460852
1108	100-104	0.35915571928333634
1108	105-109	0.394324041377466
1108	110-114	0.3788696524933499
1108	115-119	0.455204456544827
1108	120-124	0.5811932167074261
1108	125-129	0.5293418966945183
1108	130-134	0.5683334175536316
1108	135-139	0.6507877059976579
1108	140-144	0.5672274706618339
1108	145-149	0.6599211675349395
1108	150-151	0.7820281480823894
1109	1	0.1856061538227891
1109	2	0.027744684646499707
1109	3	0.1092214218773151
1109	4	0.18506446177869407
1109	5	0.03806197324435345
1109	6	0.16636251005071045
1109	7	0.11007065390748494
1109	8	0.16318039191891387
1109	9	0.13388063683947848
1109	10-14	0.11979827095133544
1109	15-19	0.12762217053982994
1109	20-24	0.1575238798202392
1109	25-29	0.1733027265660283
1109	30-34	0.17559029903339507
1109	35-39	0.26573361169721466
1109	40-44	0.26808263633693485
