##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12785150
Total Bases	1.9 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.678037567021114	40.0	40.0	40.0	40.0	40.0
2	39.17700942108618	40.0	40.0	40.0	40.0	40.0
3	39.35520115133573	40.0	40.0	40.0	40.0	40.0
4	39.222952096768516	40.0	40.0	40.0	40.0	40.0
5	39.21054864432564	40.0	40.0	40.0	40.0	40.0
6	39.22322663402463	40.0	40.0	40.0	40.0	40.0
7	39.07866986308334	40.0	40.0	40.0	40.0	40.0
8	39.146800311298655	40.0	40.0	40.0	40.0	40.0
9	39.135465598761066	40.0	40.0	40.0	40.0	40.0
10-14	39.16179955651674	40.0	40.0	40.0	40.0	40.0
15-19	39.472493384903586	40.0	40.0	40.0	40.0	40.0
20-24	39.551964959347366	40.0	40.0	40.0	40.0	40.0
25-29	39.40082154687274	40.0	40.0	40.0	40.0	40.0
30-34	39.35568580736244	40.0	40.0	40.0	40.0	40.0
35-39	39.39969348814836	40.0	40.0	40.0	40.0	40.0
40-44	39.39772996014908	40.0	40.0	40.0	40.0	40.0
45-49	39.39106181781207	40.0	40.0	40.0	40.0	40.0
50-54	39.35013392881586	40.0	40.0	40.0	40.0	40.0
55-59	39.24068172841148	40.0	40.0	40.0	40.0	40.0
60-64	39.19591848355318	40.0	40.0	40.0	40.0	40.0
65-69	39.262041853243794	40.0	40.0	40.0	40.0	40.0
70-74	39.27796720413918	40.0	40.0	40.0	40.0	40.0
75-79	39.25628442372596	40.0	40.0	40.0	40.0	40.0
80-84	39.21618308741	40.0	40.0	40.0	40.0	40.0
85-89	39.18976978760515	40.0	40.0	40.0	40.0	40.0
90-94	39.16386398282382	40.0	40.0	40.0	40.0	40.0
95-99	39.11985533216271	40.0	40.0	40.0	40.0	40.0
100-104	39.09212506697223	40.0	40.0	40.0	40.0	40.0
105-109	39.06218404946364	40.0	40.0	40.0	40.0	40.0
110-114	39.00654966113029	40.0	40.0	40.0	40.0	40.0
115-119	38.96489827651611	40.0	40.0	40.0	40.0	40.0
120-124	38.93348720977072	40.0	40.0	40.0	40.0	40.0
125-129	38.880679006503634	40.0	40.0	40.0	40.0	40.0
130-134	38.85025333296833	40.0	40.0	40.0	40.0	40.0
135-139	38.8042773060934	40.0	40.0	40.0	40.0	40.0
140-144	38.765435556094374	40.0	40.0	40.0	40.0	40.0
145-149	38.70579339311624	40.0	40.0	40.0	40.0	40.0
150-151	38.36921021654028	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.08788566424576061
1101	2	-0.06865747137506872
1101	3	-0.04824092834555671
1101	4	-0.12349026377292915
1101	5	-0.06383462715422183
1101	6	-0.10881253204190955
1101	7	-0.08219084217824957
1101	8	-0.15529492262091793
1101	9	-0.05625297655672057
1101	10-14	-0.11741018590922891
1101	15-19	-0.0185697646660401
1101	20-24	0.012444608175634642
1101	25-29	0.026259603086593586
1101	30-34	0.017447821123354856
1101	35-39	0.023503566813339205
1101	40-44	0.05169400803531232
1101	45-49	-0.018549805507205974
1101	50-54	-0.0044594973147908945
1101	55-59	0.02405168327060636
1101	60-64	0.041743640487560185
1101	65-69	0.004534471268655693
1101	70-74	0.028977682021640305
1101	75-79	0.05896233423034403
1101	80-84	0.05124951652390308
1101	85-89	0.03192815300709384
1101	90-94	0.09914010679851515
1101	95-99	0.05596591659176653
1101	100-104	0.07074936509331309
1101	105-109	0.039312445267690066
1101	110-114	0.09390021249321023
1101	115-119	0.08240041535585618
1101	120-124	0.12411950618945156
1101	125-129	0.12145445673985478
1101	130-134	0.1090457159873921
1101	135-139	0.15103576446953326
1101	140-144	0.1315299435100954
1101	145-149	0.16246255029571444
1101	150-151	0.2401748494142737
1102	1	0.035306663493791746
1102	2	-0.07837456872529458
1102	3	-0.046813007848591326
1102	4	0.050925646550069814
1102	5	-0.09160876165806542
1102	6	0.043212302456296925
1102	7	0.12910714459715678
1102	8	0.0727963710230739
1102	9	0.106822636436263
1102	10-14	-0.07279096146994846
1102	15-19	0.07847456863426316
1102	20-24	0.04117784668668634
1102	25-29	0.09460285584042794
1102	30-34	0.025851736817017468
1102	35-39	0.009015456516380027
1102	40-44	0.04059994744621065
1102	45-49	0.01305328845816689
1102	50-54	-0.050991100530197286
1102	55-59	-0.13788307492287544
1102	60-64	-0.018093782056446628
1102	65-69	-0.009140678882801012
1102	70-74	-0.041419381402405975
1102	75-79	-0.03649343448102371
1102	80-84	0.02280992589187747
1102	85-89	0.014659738929097443
1102	90-94	0.06717992341068424
1102	95-99	0.011775068301588476
1102	100-104	-0.03665342750043976
1102	105-109	0.015499132453271613
1102	110-114	0.09792811900000231
1102	115-119	0.06956251384277579
1102	120-124	0.08800011270226804
1102	125-129	0.09343967184846491
1102	130-134	0.09731500542267923
1102	135-139	0.10810046124227313
1102	140-144	0.2262342748284496
1102	145-149	0.1441908514419339
1102	150-151	0.25874522386511245
1103	1	0.10952363956270261
1103	2	-0.04367690678796521
1103	3	-0.1754460187063387
1103	4	0.028135040084961815
1103	5	-0.479207327719692
1103	6	-0.4548765824570751
1103	7	-0.2939786440001484
1103	8	-0.3606397141325033
1103	9	-0.3333892203900817
1103	10-14	-0.36727607851069877
1103	15-19	-0.10336416146331118
1103	20-24	0.027405776833795414
1103	25-29	-0.01723401646749778
1103	30-34	0.07523247360263241
